Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
82,2337.34,0.02,4674.0,0.21,0.2,403.5,1.02,807.0,1.24,0.21,2376.5,0.01,4753.0,0.21,0.19,444.0,0.92,888.0,1.12,0.2
83,2297.0,0.01,4594.0,0.21,0.2,415.0,1.0,830.0,1.21,0.21,2348.0,0.02,4696.0,0.21,0.19,444.44,0.93,888.0,1.12,0.2
84,2243.24,0.02,4486.0,0.22,0.2,406.41,1.02,812.0,1.23,0.21,2309.0,0.02,4618.0,0.21,0.2,452.0,0.91,904.0,1.1,0.2
85,2215.5,0.02,4431.0,0.22,0.21,394.5,1.05,789.0,1.26,0.22,2339.0,0.02,4678.0,0.21,0.19,446.0,0.92,892.0,1.12,0.2
86,2266.5,0.01,4533.0,0.22,0.2,396.4,1.05,792.0,1.26,0.21,2360.5,0.01,4721.0,0.21,0.19,442.44,0.93,884.0,1.13,0.2
87,2271.77,0.02,4543.0,0.22,0.2,403.5,1.02,807.0,1.24,0.21,2374.37,0.02,4748.0,0.21,0.19,438.44,0.94,876.0,1.14,0.2
88,2159.0,0.01,4318.0,0.23,0.21,592.0,0.63,1184.0,0.85,0.22,2343.0,0.02,4686.0,0.21,0.19,436.44,0.94,872.0,1.14,0.2
89,2268.27,0.02,4536.0,0.22,0.2,614.0,0.58,1228.0,0.81,0.23,2327.0,0.01,4654.0,0.21,0.2,433.57,0.95,867.0,1.15,0.2
90,2192.69,0.02,4385.0,0.23,0.21,535.03,0.71,1070.0,0.93,0.22,2361.0,0.02,4722.0,0.21,0.19,437.44,0.94,874.0,1.14,0.21
91,2359.5,0.01,4719.0,0.21,0.19,513.5,0.75,1027.0,0.97,0.22,2369.0,0.02,4738.0,0.21,0.19,430.43,0.92,860.0,1.16,0.24
92,2269.27,0.02,4538.0,0.22,0.2,485.49,0.81,970.0,1.03,0.22,2351.5,0.02,4703.0,0.21,0.19,432.5,0.92,865.0,1.15,0.23
93,2263.0,0.01,4526.0,0.22,0.2,475.98,0.82,951.0,1.05,0.23,2282.5,0.01,4565.0,0.22,0.2,437.94,0.92,875.0,1.14,0.22
94,2210.71,0.02,4421.0,0.22,0.21,472.5,0.84,945.0,1.06,0.22,2359.5,0.02,4719.0,0.21,0.19,442.0,0.91,884.0,1.13,0.22
95,2264.5,0.01,4529.0,0.22,0.2,443.0,0.91,886.0,1.12,0.21,2343.84,0.02,4687.0,0.21,0.19,436.44,0.93,872.0,1.15,0.22
96,2265.5,0.02,4531.0,0.22,0.2,423.42,0.96,846.0,1.17,0.21,2381.0,0.02,4762.0,0.21,0.19,435.43,0.93,870.0,1.14,0.21
